request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-13 1:29:30,2015-12-13 1:36:00,46.2021936,6.1389662,2015-12-13 1:41:23,46.2001276,6.1551078,completed,CHF,uberX,10.49,1.22,5.4,1.0
2015-12-13 2:41:23,2015-12-13 2:44:43,46.193119,6.1655079,2015-12-13 2:51:52,46.2036984,6.1611836,completed,CHF,uberX,10.47,1.02,7.15,1.0
2015-12-13 3:19:17,2015-12-13 3:31:33,46.1944176,6.159569,2015-12-13 3:38:34,46.2102164,6.1513035,completed,CHF,uberX,12.48,1.6,7.0,1.0
2015-12-13 3:38:12,,46.2106675,6.1511483,,46.237002,6.123851,rider_canceled,CHF,uberX,8.0,,,1.0
2015-12-13 4:03:18,2015-12-13 4:10:56,46.1967271,6.1607833,2015-12-13 4:22:00,46.2043372,6.1251895,completed,CHF,uberX,16.81,2.37,11.0666666667,1.0
2015-12-13 4:22:38,2015-12-13 4:28:49,46.2059325,6.1168365,2015-12-13 4:42:24,46.1860082,6.1592909,completed,CHF,uberX,21.26,3.34,13.6,1.0
2015-12-13 4:42:25,2015-12-13 4:49:31,46.1899709,6.1385569,2015-12-13 4:58:13,46.213156,6.1491867,completed,CHF,uberX,15.09,2.15,8.7,1.0
2015-12-13 5:00:05,2015-12-13 5:05:26,46.2097113,6.1507034,2015-12-13 5:21:16,46.1739159,6.1416025,completed,CHF,uberX,53.4,4.62,15.8333333333,2.0
2015-12-14 10:01:27,2015-12-14 10:06:04,46.1927789,6.1461822,2015-12-14 10:29:34,46.2308496,6.1101804,completed,CHF,uberX,29.0,4.41,23.5,1.0
2015-12-14 11:26:29,2015-12-14 11:40:36,46.2216936,6.1494379,2015-12-14 12:08:26,46.2207492,6.0982318,completed,CHF,uberX,28.05,3.65,27.85,1.0
2015-12-14 12:15:48,2015-12-14 12:20:38,46.2308222,6.1093284,2015-12-14 12:43:09,46.1460851,6.0800785,completed,CHF,uberX,44.76,8.97,22.5333333333,1.0
